N-samples,CNAME,e1_all_unsatgl_rm,e2_all_unsatgl_rm
569,BRANDEIS H S,23,23
570,BRENNAN H S,28,27
571,JUDSON H S,47,39
572,JUDSON LEARNING,83,67
573,KAREN WAGNER H,52,52
574,JUDSON EARLY CO,1,0
575,VETERANS MEMORI,33,37
576,VETERANS MEMORI,33,28
577,VETERANS MEMORI,33,42
578,VETERANS MEMORI,33,27
579,VETERANS MEMORI,28,37
580,VETERANS MEMORI,28,28
581,VETERANS MEMORI,28,42
582,VETERANS MEMORI,28,27
583,VETERANS MEMORI,49,37
584,VETERANS MEMORI,49,28
585,VETERANS MEMORI,49,42
586,VETERANS MEMORI,49,27
587,VETERANS MEMORI,30,37
588,VETERANS MEMORI,30,28
589,VETERANS MEMORI,30,42
590,VETERANS MEMORI,30,27
591,SOUTHSIDE H S,58,52
592,LYNDON B JOHNSO,38,25
593,LYNDON B JOHNSO,38,69
594,LYNDON B JOHNSO,58,25
595,LYNDON B JOHNSO,58,69
596,BLANCO H S,42,23
597,BORDEN COUNTY S,4,0
598,CLIFTON H S,32,34
599,MERIDIAN H S,24,44
600,MORGAN SCHOOL,50,43
601,VALLEY MILLS H,40,28
602,WALNUT SPRINGS,33,55
603,IREDELL SCHOOL,25,13
604,KOPPERL SCHOOL,50,70
605,CRANFILLS GAP S,8,25
606,DEKALB H S,33,34
607,HOOKS H S,37,34
608,MAUD SCHOOL,28,38
609,NEW BOSTON H S,41,39
610,REDWATER H S,28,29
611,TEXAS H S,40,34
612,OPTIONS,88,79
613,LIBERTY-EYLAU H,55,46
614,JAMES BOWIE H S,54,35
615,PLEASANT GROVE,15,14
617,ALVIN H S,46,42
618,MANVEL H S,46,47
619,ASSETS,76,74
620,SHADOW CREEK H,30,32
621,ANGLETON H S,40,33
622,BRAZORIA CO JUV,84,77
623,DANBURY H S,29,34
624,BRAZOSPORT H S,62,57
625,BRAZOSWOOD H S,40,34
629,LIGHTHOUSE LEAR,92,90
630,SWEENY H S,36,33
631,COLUMBIA H S,43,41
632,PEARLAND H S,29,30
633,PACE CENTER,57,65
634,GLENDA DAWSON H,17,17
635,ROBERT TURNER C,23,25
636,DAMON H S,40,50
637,A & M CONS H S,32,30
639,COLLEGE STATION,19,16
645,COLLEGE VIEW H,58,36
646,TRAVIS B BRYAN,53,52
647,JAMES EARL RUDD,62,60
648,BRYAN COLLEGIAT,13,10
649,BRAZOS CO JUVEN,92,67
650,THE MARY CATHER,95,85
651,BIG BEND H S,71,56
652,ALPINE H S,28,6
654,SILVERTON SCHOO,0,21
655,FALFURRIAS H S,57,51
656,BANGS H S,34,30
657,BROWNWOOD H S,37,36
659,BLANKET SCHOOL,29,33
660,MAY H S,44,28
661,ZEPHYR SCHOOL,0,27
662,BROOKESMITH SCH,29,50
663,EARLY H S,19,20
664,CALDWELL H S,29,28
665,SOMERVILLE H S,59,44
666,SNOOK SECONDARY,60,47
